Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1962,Boston Celtics,Bob Cousy,7.8,None,None,None,None,.391,15.7,28.2,6.3
1961,Boston Celtics,Bill Russell,3.4,None,None,None,None,.426,16.0,44.3,13.0
1961,Boston Celtics,Bob Cousy,7.7,None,None,None,None,.371,18.2,32.5,7.2
1961,Boston Celtics,Tom Heinsohn,1.9,None,None,None,None,.400,21.2,30.5,6.6
1961,Boston Celtics,Sam Jones,2.8,None,None,None,None,.449,13.7,26.0,8.1
1961,Boston Celtics,Frank Ramsey,1.8,None,None,None,None,.407,13.9,25.6,6.5
1960,Boston Celtics,Bill Russell,3.7,None,None,None,None,.467,16.1,42.5,13.8
1960,Boston Celtics,Bob Cousy,9.5,None,None,None,None,.384,19.7,34.5,7.8
1960,Boston Celtics,Tom Heinsohn,2.3,None,None,None,None,.423,21.2,32.3,7.7
1960,Boston Celtics,Frank Ramsey,1.9,None,None,None,None,.397,14.5,27.5,5.3
1960,Boston Celtics,Bill Sharman,2.0,None,None,None,None,.456,17.3,27.0,7.9
1959,Boston Celtics,Bill Russell,3.2,None,None,None,None,.457,14.2,42.6,12.9
1959,Boston Celtics,Bob Cousy,8.6,None,None,None,None,.384,19.4,37.0,8.7
1959,Boston Celtics,Bill Sharman,2.5,None,None,None,None,.408,19.1,33.1,7.6
1959,Boston Celtics,Tom Heinsohn,2.5,None,None,None,None,.390,18.1,31.7,6.5
1959,Boston Celtics,Frank Ramsey,2.0,None,None,None,None,.378,14.1,28.0,5.9
1958,St. Louis Hawks,Bob Pettit,2.2,None,None,None,None,.410,20.3,36.1,11.0
1958,St. Louis Hawks,Slater Martin,3.6,None,None,None,None,.336,12.8,35.0,1.4
1958,St. Louis Hawks,Cliff Hagan,2.5,None,None,None,None,.443,16.2,31.3,10.0
1958,St. Louis Hawks,Jack McMahon,4.6,None,None,None,None,.300,10.0,31.1,-0.7
1958,St. Louis Hawks,Ed Macauley,2.0,None,None,None,None,.428,12.2,26.5,6.3
1957,Boston Celtics,Bob Cousy,7.5,None,None,None,None,.378,19.8,36.9,8.8
1957,Boston Celtics,Bill Sharman,3.5,None,None,None,None,.416,18.5,35.9,10.4
1957,Boston Celtics,Bill Russell,1.8,None,None,None,None,.427,13.5,35.3,6.2
1957,Boston Celtics,Jim Loscutoff,1.3,None,None,None,None,.345,12.7,31.7,2.1
1957,Boston Celtics,Tom Heinsohn,1.6,None,None,None,None,.397,15.6,29.9,7.1
1956,Philadelphia Warriors,Jack George,6.3,None,None,None,None,.374,13.1,39.4,4.6
1956,Philadelphia Warriors,Paul Arizin,2.6,None,None,None,None,.448,19.1,37.8,12.2
1956,Philadelphia Warriors,Neil Johnston,3.2,None,None,None,None,.457,15.6,37.1,13.9
1956,Philadelphia Warriors,Tom Gola,5.9,None,None,None,None,.412,8.7,34.5,6.5
1956,Philadelphia Warriors,Joe Graboski,2.6,None,None,None,None,.369,14.9,33.0,2.0
1955,Syracuse Nationals,Paul Seymour,6.7,None,None,None,None,.362,14.4,41.0,6.7
1955,Syracuse Nationals,Dolph Schayes,3.0,None,None,None,None,.383,15.3,35.1,12.0
1955,Syracuse Nationals,Red Rocha,2.5,None,None,None,None,.368,11.1,34.3,5.0
1955,Syracuse Nationals,Earl Lloyd,2.1,None,None,None,None,.365,10.9,30.7,3.6
1955,Syracuse Nationals,George King,4.9,None,None,None,None,.377,9.0,30.1,3.8
1954,Minneapolis Lakers,Slater Martin,3.7,None,None,None,None,.388,9.5,35.8,6.1
1954,Minneapolis Lakers,Jim Pollard,3.0,None,None,None,None,.370,12.4,35.0,5.7
1954,Minneapolis Lakers,George Mikan,2.4,None,None,None,None,.380,16.1,32.8,12.7
1954,Minneapolis Lakers,Vern Mikkelsen,1.7,None,None,None,None,.374,10.7,31.2,6.6
1954,Minneapolis Lakers,Whitey Skoog,2.5,None,None,None,None,.400,7.5,26.4,4.1
1953,Minneapolis Lakers,George Mikan,2.9,None,None,None,None,.399,17.9,37.9,14.6
1953,Minneapolis Lakers,Slater Martin,3.6,None,None,None,None,.410,9.1,36.5,8.2
1953,Minneapolis Lakers,Jim Pollard,3.5,None,None,None,None,.357,14.1,36.4,4.6
1953,Minneapolis Lakers,Vern Mikkelsen,2.1,None,None,None,None,.435,12.4,35.2,12.0
1953,Minneapolis Lakers,Pep Saul,1.6,None,None,None,None,.397,6.7,25.7,4.2
1952,Minneapolis Lakers,George Mikan,3.0,None,None,None,None,.385,22.1,40.2,14.4
1952,Minneapolis Lakers,Jim Pollard,3.6,None,None,None,None,.356,17.8,39.2,5.7
1952,Minneapolis Lakers,Slater Martin,3.8,None,None,None,None,.375,9.6,37.6,6.3
1952,Minneapolis Lakers,Vern Mikkelsen,2.7,None,None,None,None,.419,13.1,35.5,13.2
1952,Minneapolis Lakers,Whitey Skoog,1.7,None,None,None,None,.345,8.5,28.2,1.0
1951,Rochester Royals,Bobby Wanzer,2.7,None,None,None,None,.401,9.2,None,6.9
1951,Rochester Royals,Jack Coleman,2.9,None,None,None,None,.421,11.2,None,6.5
1951,Rochester Royals,Bob Davies,4.6,None,None,None,None,.372,13.9,None,6.9
1951,Rochester Royals,Red Holzman,2.2,None,None,None,None,.326,8.3,None,0.8
1951,Rochester Royals,Arnie Johnson,2.6,None,None,None,None,.459,5.9,None,9.1
